date,ticker,headline,sent_score,next_day_return
2018-11-29,GRMN,Gartner: Wearables spending will hit $42B in 2019,,
2015-10-14,BEN,Ten Companies Benjamin Graham Would Invest in Today - October 2015,,
2018-06-01,NTRS,Citizens Financial Plans to Buy a Mortgage Company for $511M,,
2011-12-16,JBL,Earnings Preview: Jabil Circuit - Analyst Blog,,
2018-04-23,PAYC,Amphenol (APH) Set to Report Q1 Earnings: What's in Store?,,
2019-11-14,BG,Bunge reorganizes trading in latest restructure move - Bloomberg,,
2017-03-23,KR,5—-Week Company Lows,,
2017-09-08,EFX,"Stocks Close Mixed, But These Two Sectors Display Bullish Moves",,
2016-07-24,MDT,Top 10 Health Care Stocks: Which To Buy? Part 3,,
2020-03-10,LUV,"Airline Stock Roundup: IATA's Downbeat Coronavirus-Led Forecast, LUV in Focus",,
2018-05-11,WBA,Trump to unveil drug pricing plan,,
2018-11-19,INTC,"Nvidia: A Little Light, Not Just Crypto",,
2014-06-19,AES,AES Corp. to Divest Stake in Solar JV Projects - Analyst Blog,,
2020-04-16,NOW,"YorkBridge Wealth Partners, LLC Buys iShares Short Maturity Bond, Raytheon Co, Autodesk Inc, ...",,
2019-05-01,PRU,Prudential Financial slides 2.7% after Q1 core EPS miss,,
2019-11-10,NSC,Alibaba And Disney Step Out (Stocks To Watch Podcast),,
2011-11-15,MTB,Visa: Warren Buffett Financial Winner,,
2018-05-10,FIS,Fidelity National (FIS) Investor Presentation - Slideshow,,
2013-06-19,CTSH,Cognizant Technology Solutions near Support,,
2017-04-17,A,"Fox Run Management, L.l.c. Buys Edwards Lifesciences, Walt Disney Co, Devon Energy, Sells ...",,
2019-11-14,GPN,"Henderson Group Plc Buys Fidelity National Information Services Inc, Medtronic PLC, L'Harris ...",,
2018-07-26,TPL,Texas Pacific Land Trust Trading Near Top Of Buy Range With EPS On Deck,,
2016-05-17,TJX,"Market Falls To Lows; Chicken Stocks Tyson, Sanderson Farms Fried",,
2018-02-02,BDX,"Aperio Group, LLC Buys Eversource Energy, McKesson Corp, Medtronic PLC, Sells AT&T Inc, ...",,
2017-08-18,NTAP,"Oak Associates Ltd Buys DXC Technology Co, Red Hat Inc, Total System Services Inc, Sells ...",,
2011-04-27,UHS,Universal Health Services (UHS) - Zacks #1 Rank Top Performers,,
2018-06-26,HSY,Complete And Total Nonsense,,
2018-11-06,JPM,JPMorgan Chase (JPM) Gains But Lags Market: What You Should Know,,
